analyst_id,ticker,reports,quarters,points,pts_est,error_rate,accuracy
bsirirat,CERN,Feb-08,17.00,359.00,21.10,0.02,0.68
bsirirat,COO,Mar-03,17.00,17.00,1.00,0.03,0.46
bsirirat,MU,Dec-20,17.00,46.00,2.70,0.12,0.54
bsirirat,EXPE,Feb-10,16.00,122.00,7.60,0.12,0.60
bsirirat,BIDU,Feb-24,16.00,86.00,5.40,0.16,0.42
bsirirat,KSS,Feb-24,16.00,168.00,10.50,0.05,0.62
bsirirat,URBN,Mar-08,16.00,200.00,12.50,0.06,0.62
bsirirat,NKE,Dec-20,16.00,7.00,0.40,0.08,0.36
bsirirat,TJX,Mar-02,16.00,76.00,4.80,0.03,0.48
bsirirat,BBBY,Jan-06,16.00,98.00,6.10,0.10,0.59
bsirirat,CCL,Jan-25,16.00,-29.00,-1.80,0.07,0.35
bsirirat,LULU,Dec-09,16.00,57.00,3.60,0.05,0.54
bsirirat,HLT,Feb-16,16.00,194.00,12.10,0.05,0.54
bsirirat,LVS,Jan-26,16.00,150.00,9.40,0.08,0.54
bsirirat,CAKE,Feb-23,16.00,221.00,13.80,0.04,0.54
bsirirat,BBWI,Feb-23,16.00,133.00,8.30,0.07,0.53
bsirirat,AMZN,Feb-03,16.00,111.00,6.90,0.21,0.55
bsirirat,FMC,Feb-09,16.00,95.00,5.90,0.07,0.49
bsirirat,MDLZ,Feb-02,16.00,85.00,5.30,0.03,0.43
bsirirat,STZ,Jan-06,16.00,37.00,2.30,0.06,0.34
Medic2525,SLB,Jan-21,8.00,178.00,22.30,0.10,0.60
Medic2525,INTC,Jan-26,8.00,129.00,16.10,0.09,0.63
Medic2525,HAL,Jan-24,8.00,117.00,14.60,0.12,0.62
Medic2525,NXPI,Feb-02,8.00,172.00,21.50,0.13,0.61
Medic2525,JNPR,Feb-01,8.00,81.00,10.10,0.03,0.51
Medic2525,ARLP,Jan-31,8.00,18.00,2.30,0.25,0.58
Medic2525,AMD,Feb-01,8.00,150.00,18.80,0.07,0.65
Medic2525,MCD,Jan-24,7.00,-1.00,-0.10,0.05,0.48
Medic2525,CR,Jan-31,7.00,11.00,1.60,0.13,0.40
Medic2525,STX,Jan-27,7.00,54.00,7.70,0.05,0.47
Medic2525,PII,Feb-01,7.00,128.00,18.30,0.10,0.60
Medic2525,CSX,Jan-18,7.00,93.00,13.30,0.02,0.64
Medic2525,AAPL,Feb-01,7.00,188.00,26.90,0.08,0.71
Medic2525,TWTR,Feb-10,7.00,47.00,6.70,0.25,0.52
Medic2525,BAC,Jan-18,7.00,123.00,17.60,0.08,0.60
Medic2525,BRO,Jan-24,7.00,107.00,15.30,0.07,0.55
Medic2525,MRK,Feb-03,7.00,106.00,15.10,0.07,0.66
Medic2525,TSCO,Feb-02,7.00,136.00,19.40,0.08,0.60
Medic2525,BKR,Jan-20,7.00,98.00,14.00,0.30,0.67
Medic2525,NOV,Feb-03,7.00,22.00,3.10,0.41,0.42
Medic2525,PPG,Jan-20,7.00,56.00,8.00,0.08,0.55
Medic2525,GNTX,Jan-28,7.00,12.00,1.70,0.16,0.56
Medic2525,TSLA,Feb-02,7.00,128.00,18.30,0.23,0.65
Medic2525,LVS,Jan-26,7.00,117.00,16.70,0.18,0.69
Medic2525,ALK,Jan-27,7.00,62.00,8.90,0.08,0.66
Medic2525,SAVE,Feb-08,7.00,43.00,6.10,0.21,0.52
Medic2525,JJSF,Jan-24,7.00,69.00,9.90,0.22,0.53
Medic2525,ALV,Jan-28,7.00,55.00,7.90,0.09,0.47
Medic2525,HXL,Jan-26,7.00,22.00,3.10,0.34,0.52
Medic2525,LRCX,Jan-26,7.00,204.00,29.10,0.03,0.64
Analyst_8298118,GE,Jan-27,1.00,-4.00,-4.00,0.51,0.62
Analyst_8298118,EVRG,Feb-25,1.00,-10.00,-10.00,0.08,0.47
Analyst_8030355,STZ,Jan-06,5.00,94.00,18.80,0.03,0.73
Analyst_8030355,ZEN,Feb-08,5.00,102.00,20.40,0.32,0.59
Analyst_8030355,ELY,Feb-09,5.00,113.00,22.60,0.13,0.70
Analyst_8030355,KBH,Jan-12,5.00,51.00,10.20,0.06,0.56
Analyst_8030355,BURL,Mar-03,5.00,118.00,23.60,0.05,0.77
Analyst_8030355,SPSC,Feb-08,4.00,99.00,24.80,0.05,0.71
Analyst_8030355,RNG,Feb-14,4.00,116.00,29.00,0.05,0.69
Analyst_8030355,PVH,Mar-30,4.00,138.00,34.50,0.03,0.78
Analyst_8030355,HUBS,Feb-15,4.00,99.00,24.80,0.37,0.68
Analyst_8030355,NOW,Jan-26,4.00,105.00,26.30,0.04,0.67
Analyst_8030355,INGN,Mar-01,4.00,123.00,30.80,0.10,0.83
Analyst_8030355,CHE,Feb-16,4.00,68.00,17.00,0.04,0.66
Analyst_8030355,ALGN,Feb-03,4.00,120.00,30.00,0.06,0.86
Analyst_8030355,FIVN,Feb-22,3.00,78.00,26.00,0.09,0.77
Analyst_8030355,EL,Feb-03,3.00,108.00,36.00,0.02,0.85
Analyst_8030355,TTD,Feb-17,3.00,93.00,31.00,0.12,0.76
Analyst_8030355,HEI,Dec-15,3.00,49.00,16.30,0.05,0.45
Analyst_8030355,WCN,Feb-16,3.00,73.00,24.30,0.01,0.75
Analyst_8030355,LULU,Dec-09,3.00,71.00,23.70,0.07,0.74
Analyst_8030355,OSUR,Feb-09,3.00,69.00,23.00,0.08,0.72
Analyst_8030355,MKSI,Feb-01,3.00,86.00,28.70,0.02,0.67
Analyst_8030355,VEEV,Mar-01,3.00,119.00,39.70,0.01,0.87
Analyst_8030355,AVGO,Dec-09,3.00,65.00,21.70,0.01,0.69
Analyst_8030355,IRBT,Feb-09,3.00,79.00,26.30,0.27,0.64
Analyst_8030355,MS,Jan-20,3.00,26.00,8.70,0.10,0.34
Analyst_8030355,FIVE,Mar-23,3.00,62.00,20.70,0.06,0.69
